long,lat,group,order,Kiez
13.35019736897057,52.59060469764408,3,1899,Pankow
13.35080100880199,52.59068698885314,3,1900,Pankow
13.351283217304427,52.59074490922726,3,1901,Pankow
13.351757086713269,52.59079364134715,3,1902,Pankow
13.35215589083048,52.59081847153692,3,1903,Pankow
13.3536920863352,52.59089769136414,3,1904,Pankow
13.354149153077058,52.59090898844325,3,1905,Pankow
13.35521513046584,52.5908804284522,3,1906,Pankow
13.35569352602781,52.59088691532126,3,1907,Pankow
13.35801450313675,52.59102646696895,3,1908,Pankow
13.35905850413521,52.59108913253542,3,1909,Pankow
13.359129312573279,52.59109342647746,3,1910,Pankow
13.36007034687961,52.5911767908628,3,1911,Pankow
13.36064852013164,52.59126823135877,3,1912,Pankow
13.36112855580728,52.591668608901635,3,1913,Pankow
13.36260443244155,52.592901084726,3,1914,Pankow
13.36364972614834,52.59375233901927,3,1915,Pankow
13.36429569687994,52.59427835297672,3,1916,Pankow
13.36429344409702,52.594309084195075,3,1917,Pankow
13.3643569470991,52.59433510784015,3,1918,Pankow
13.365197722610818,52.595038954849656,3,1919,Pankow
13.36549273028283,52.595291516127055,3,1920,Pankow
13.36569255726244,52.59546181410761,3,1921,Pankow
13.36620284983692,52.59588641277896,3,1922,Pankow
13.36714173282625,52.59666244858309,3,1923,Pankow
13.3675988980668,52.59703920282289,3,1924,Pankow
13.36776097882776,52.59717283689032,3,1925,Pankow
13.36784734923384,52.59724411413312,3,1926,Pankow
13.36797163175117,52.59736804909262,3,1927,Pankow
13.36810363271704,52.59738029000378,3,1928,Pankow
13.36816999987324,52.59743786285513,3,1929,Pankow
13.36863786725275,52.59783989033456,3,1930,Pankow
13.36961790270958,52.59864996760328,3,1931,Pankow
13.36997351314956,52.59893554357382,3,1932,Pankow
13.37015040529524,52.59907864373031,3,1933,Pankow
13.37033819793195,52.59925232378689,3,1934,Pankow
13.3705638372652,52.59947012275005,3,1935,Pankow
13.37085656797081,52.59983195167844,3,1936,Pankow
13.37100145005043,52.6000170417275,3,1937,Pankow
13.37102356352087,52.600045219453655,3,1938,Pankow
13.37109442397156,52.60016894669116,3,1939,Pankow
13.37111433490262,52.60019909684338,3,1940,Pankow
13.37144087962651,52.6006932892322,3,1941,Pankow
13.37166135593928,52.60102692036264,3,1942,Pankow
13.37183708830736,52.60126752692015,3,1943,Pankow
13.372456727493208,52.6021736016924,3,1944,Pankow
13.37265724407047,52.60244562555154,3,1945,Pankow
13.37280826318286,52.60266703485699,3,1946,Pankow
13.37310816336919,52.60308028030526,3,1947,Pankow
13.37330190999957,52.6033665782431,3,1948,Pankow
13.37402280777179,52.60441602733414,3,1949,Pankow
13.37426599167273,52.60476659775323,3,1950,Pankow
13.374779315063488,52.60552495304703,3,1951,Pankow
13.37505880100934,52.6059378803489,3,1952,Pankow
13.37526011930289,52.60622455048665,3,1953,Pankow
13.37515010714376,52.6061092807003,3,1954,Pankow
13.375443450527428,52.606527359161404,3,1955,Pankow
13.37578897149704,52.60701996148316,3,1956,Pankow
13.37577771183025,52.60707287240409,3,1957,Pankow
13.37621211018775,52.60773848575014,3,1958,Pankow
13.37635419056332,52.6093225138478,3,1959,Pankow
13.37632323299943,52.61069650435778,3,1960,Pankow
13.37628460845618,52.61112861808585,3,1961,Pankow
13.3761823503653,52.61150910061464,3,1962,Pankow
13.37611853331783,52.61174622829633,3,1963,Pankow
13.37571731684529,52.613238965111265,3,1964,Pankow
13.3752281218341,52.6142259830062,3,1965,Pankow
13.37428853254363,52.61566634446896,3,1966,Pankow
13.374213236431578,52.61575776385853,3,1967,Pankow
13.37323327022537,52.617156060383124,3,1968,Pankow
13.37313704438651,52.6172859894563,3,1969,Pankow
13.37310815131709,52.61733355987918,3,1970,Pankow
13.37298433767294,52.61753793378172,3,1971,Pankow
13.37275272078433,52.61791517036694,3,1972,Pankow
13.37245046232972,52.61837709428158,3,1973,Pankow
13.37191328791245,52.61917256736261,3,1974,Pankow
13.371554636447069,52.61969530098276,3,1975,Pankow
13.3710472595156,52.6203666309282,3,1976,Pankow
13.37038192433356,52.62120136417367,3,1977,Pankow
13.36982886020151,52.62186908498933,3,1978,Pankow
13.36977991189298,52.62192937295281,3,1979,Pankow
13.369718558952428,52.62198648849639,3,1980,Pankow
13.369627330832397,52.62211211159721,3,1981,Pankow
13.36951930180962,52.62225729029076,3,1982,Pankow
13.36936547297128,52.62242393879397,3,1983,Pankow
13.36848310716007,52.62341142174769,3,1984,Pankow
13.36790810261214,52.62407225533568,3,1985,Pankow
13.36730421003552,52.62502259038043,3,1986,Pankow
13.36721128635385,52.625268097058935,3,1987,Pankow
13.36719396446606,52.625313714115805,3,1988,Pankow
13.367110990476618,52.62540052858895,3,1989,Pankow
13.36703838219619,52.62538212562937,3,1990,Pankow
13.366984017244818,52.625368346048234,3,1991,Pankow
13.36701199483726,52.62545711094206,3,1992,Pankow
13.3669339796034,52.62554977782505,3,1993,Pankow
13.36692147297754,52.62558435113584,3,1994,Pankow
13.366916219339029,52.62579311219063,3,1995,Pankow
13.36693902149954,52.62585077006122,3,1996,Pankow
13.36697953327384,52.62585912700713,3,1997,Pankow
13.36707662635373,52.62581548208139,3,1998,Pankow
13.36715514540583,52.6257612814095,3,1999,Pankow
13.36718745304698,52.62575631927975,3,2000,Pankow
13.36722860882065,52.62575874600056,3,2001,Pankow
13.36726078964613,52.62577526297142,3,2002,Pankow
13.36727850801587,52.62580693665962,3,2003,Pankow
13.36726447180588,52.62587368081969,3,2004,Pankow
13.3672868760608,52.62589565858531,3,2005,Pankow
13.36767964880576,52.626028089610486,3,2006,Pankow
13.36771359531554,52.62572439653479,3,2007,Pankow
13.367963666548679,52.62559930136722,3,2008,Pankow
13.36813341293758,52.625669771700736,3,2009,Pankow
13.36822476029968,52.62569154009238,3,2010,Pankow
13.36828341743969,52.62567980481929,3,2011,Pankow
13.368535310361409,52.625596772491534,3,2012,Pankow
13.3688722644911,52.62569330900922,3,2013,Pankow
13.369135133768559,52.62583632723961,3,2014,Pankow
13.36909037830383,52.625990809793784,3,2015,Pankow
13.36910281782858,52.62602975136878,3,2016,Pankow
13.3691245322912,52.62604489701909,3,2017,Pankow
13.36950429089719,52.626029544235045,3,2018,Pankow
13.36953439516834,52.62610968542472,3,2019,Pankow
13.36952271148641,52.62625372482409,3,2020,Pankow
13.36963547181032,52.62632173273718,3,2021,Pankow
13.36969141670388,52.62646142511787,3,2022,Pankow
13.36980275082914,52.62652349822992,3,2023,Pankow
13.3698366112118,52.62669055363941,3,2024,Pankow
13.36987553815977,52.62672020581044,3,2025,Pankow
13.37012093526561,52.62679056745935,3,2026,Pankow
13.37020934486706,52.6268362338946,3,2027,Pankow
13.37017534144156,52.62706901853953,3,2028,Pankow
13.370292209083168,52.626997283841455,3,2029,Pankow
13.37040756222368,52.62703896413786,3,2030,Pankow
13.37064892896482,52.6272997546027,3,2031,Pankow
13.370718384529859,52.62735832128869,3,2032,Pankow
13.37080383338151,52.6273897811196,3,2033,Pankow
